State, Facility Name, Facility ID (ORISPL), Month, Year, Gross Load (MW-h), SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu)
"AL","James H Miller Jr","6002","6","2016","1916359.5","78.616","701.357","2147210.75","20473046.05",
"AL","James H Miller Jr","6002","7","2016","2042776.5","88.873","747.606","2323369.175","22152657.225",
"AL","James H Miller Jr","6002","8","2016","2077247.25","99.763","717.195","2341848.425","22328834.4",
"AL","James H Miller Jr","6002","9","2016","1996948","68.163","639.784","2180764.65","20792955.4",
"AL","James H Miller Jr","6002","10","2016","1878824.5","68.625","657.216","2011782.125","19181769.4",
"AL","James H Miller Jr","6002","11","2016","1911093.5","76.33","635.179","2083911.4","19869492.3",
"AL","James H Miller Jr","6002","12","2016","2093063","84.208","718.049","2310274.1","22027801.8",
"AL","McIntosh (7063)","7063","1","2016","31484.58","0.096","6.787","18944.652","318768.676",
"AL","McIntosh (7063)","7063","2","2016","7565.53","0.023","2.171","4596.953","77355.989",
"AL","McIntosh (7063)","7063","3","2016","1939.93","0.006","0.502","1175.927","19784.861",
"AL","McIntosh (7063)","7063","4","2016","4205.18","0.011","0.947","2224.228","37422.978",
"AL","McIntosh (7063)","7063","5","2016","114703.04","0.31","15.584","61456.186","1034125.193",
"AL","McIntosh (7063)","7063","6","2016","54981.32","0.175","11.493","34697.908","583870.161",
"AL","McIntosh (7063)","7063","7","2016","45817.39","0.145","9.715","28613.697","481457.846",
"AL","McIntosh (7063)","7063","8","2016","22075.68","0.074","5.96","14493.418","243885.498",
"AL","McIntosh (7063)","7063","9","2016","18045.72","0.054","4.386","10840.18","182404.394",
"AL","McIntosh (7063)","7063","10","2016","8057.86","0.024","2.504","4732.971","79641.972",
"AL","McIntosh (7063)","7063","11","2016","14060.6","0.044","3.414","8802.615","148119.265",
"AL","McIntosh (7063)","7063","12","2016","13720.88","0.043","3.119","8304.142","139741.439",
"AL","McWilliams","533","1","2016","268712.03","0.86","24.486","170487.111","2868778.227",
"AL","McWilliams","533","2","2016","220972.15","0.72","17.675","142747.5","2401969.111",
"AL","McWilliams","533","3","2016","225920.97","0.736","14.415","145988.747","2456530.797",
"AL","McWilliams","533","4","2016","219312.9","0.72","15.07","142687.695","2400962.223",
"AL","McWilliams","533","5","2016","156694.96","0.518","19.278","102920.595","1731841.385",
"AL","McWilliams","533","6","2016","253832.63","0.828","24.447","164636.835","2770306.714",
"AL","McWilliams","533","7","2016","260042.76","0.848","23.52","168341.21","2832649.945",
"AL","McWilliams","533","8","2016","259592.64","0.849","23.977","168853.956","2841300.526",
"AL","McWilliams","533","9","2016","243982.18","0.794","19.656","157414.64","2648791.658",
"AL","McWilliams","533","10","2016","168025.89","0.546","12.673","107903.171","1815619.536",
"AL","McWilliams","533","11","2016","117274.49","0.383","14.08","76144.846","1281311.098",
"AL","McWilliams","533","12","2016","215269.8","0.683","16.379","135461.646","2279388.774",
"AL","Morgan Energy Center","55293","1","2016","461152.35","1.014","12.807","200812.84","3379034.893",
"AL","Morgan Energy Center","55293","2","2016","274083.66","0.623","8.164","123510.476","2078306.611",
"AL","Morgan Energy Center","55293","3","2016","317735.45","0.721","9.497","142783.263","2402615.038",
"AL","Morgan Energy Center","55293","4","2016","150518.14","0.341","4.804","67380.377","1133812.94",
"AL","Morgan Energy Center","55293","5","2016","333247.05","0.746","9.904","147800.302","2487043.993",
"AL","Morgan Energy Center","55293","6","2016","369940.76","0.826","10.411","163469.932","2750664.911",
"AL","Morgan Energy Center","55293","7","2016","458860.49","1.017","11.888","201444.005","3389691.498",
"AL","Morgan Energy Center","55293","8","2016","454820.9","1.005","11.669","199243.808","3352648.169",
"AL","Morgan Energy Center","55293","9","2016","402368.15","0.893","10.833","177097.575","2980036.975",
"AL","Morgan Energy Center","55293","10","2016","404951.06","0.894","11.425","177159.197","2981040.319",
"AL","Morgan Energy Center","55293","11","2016","322444.25","0.721","9.35","142902.834","2404591.333",
"AL","Morgan Energy Center","55293","12","2016","332732.47","0.757","9.549","149794.761","2520574.447",
"AL","Plant H. Allen Franklin","7710","1","2016","974311.25","1.963","29.561","388904.375","6544077.825",
"AL","Plant H. Allen Franklin","7710","2","2016","946316.25","1.89","28.26","374366.2","6299407.425",
"AL","Plant H. Allen Franklin","7710","3","2016","1047333","2.137","31.845","423124.4","7119839.125",
"AL","Plant H. Allen Franklin","7710","4","2016","710399.75","1.441","22.165","285443.125","4803105.1",
"AL","Plant H. Allen Franklin","7710","5","2016","798644","1.63","25.607","322602.2","5428400.975",
"AL","Plant H. Allen Franklin","7710","6","2016","1071386.75","2.203","33.554","436333.9","7342158.975",
"AL","Plant H. Allen Franklin","7710","7","2016","1143206.5","2.353","33.263","466049.1","7842133.8",
"AL","Plant H. Allen Franklin","7710","8","2016","1187872.75","2.442","34.116","483770.2","8140327.075",
"AL","Plant H. Allen Franklin","7710","9","2016","1094310.75","2.24","32.339","443701.575","7466116.325",
"AL","Plant H. Allen Franklin","7710","10","2016","1022473.25","2.075","29.348","410959.3","6915180.875",
