State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"MO","Montrose","2080","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"7",,"Tangentially-fired","Coal",
"MO","Montrose","2080","2"," CS023","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"7",,"Tangentially-fired","Coal",
"MO","Montrose","2080","3"," CS023","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"7",,"Tangentially-fired","Coal",
"MO","Moreau","6652","CT01",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","New Madrid Power Plant","2167","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"7","SPP","Cyclone boiler","Coal",
"MO","New Madrid Power Plant","2167","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","743.61","390064.34",,"733.659","0.4729","815.049","359165.888","3424539.962","7","SPP","Cyclone boiler","Coal",
"MO","Nodaway Power Plant","7754","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","1.15","1.15",,"0.0","0.096","0.019","23.194","389.697","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Nodaway Power Plant","7754","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.92","0.92",,"0.0","0.077","0.012","18.548","311.844","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Northeast Generating Station","2081","11",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","12",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","2.5","23.0",,"0.007","1.2","0.269",,"448.9","7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","13",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","14",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","15",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","16",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","17",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Northeast Generating Station","2081","18",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Diesel Oil",
"MO","Peno Creek Energy Center","7964","CT1A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","22.25","530.79",,"0.002","0.0919","0.253","337.804","5686.923","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT1B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","22.11","525.65",,"0.002","0.0898","0.249","338.895","5705.45","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT2A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","12.02","285.79",,"0.001","0.0993","0.137","183.475","3088.793","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT2B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","11.8","266.76",,"0.001","0.0957","0.12","177.539","2988.207","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT3A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","21.37","494.33",,"0.002","0.0927","0.248","320.323","5391.031","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT3B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","21.27","496.16",,"0.002","0.0869","0.23","323.832","5447.84","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT4A",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","10.82","251.2",,"0.001","0.0952","0.129","163.604","2751.252","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Peno Creek Energy Center","7964","CT4B",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Ralph Green Station","2092","3",,"5","2016","CSNOXOS, CSSO2G1, CSNOX","30.33","311.45",,"0.003","0.166","0.776",,"9350.101","7",,"Combustion turbine","Pipeline Natural Gas",
"MO","Rush Island","6155","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","744.0","356514.0",,"885.874","0.0799","133.999","346464.8","3303451.1","7",,"Tangentially-fired","Coal",
"MO","Rush Island","6155","2",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","659.83","264006.26",,"702.185","0.0814","101.297","264876.56","2525515.892","7",,"Tangentially-fired","Coal",
"MO","Sibley","2094","1"," CS0001","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","463.9","15056.83",,"52.405","0.7197","75.433","20435.244","194840.389","7","SPP","Cyclone boiler","Coal",
"MO","Sibley","2094","2"," CS0001","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","0.0",,,,,,,,"7","SPP","Cyclone boiler","Coal",
"MO","Sibley","2094","3"," CS0001","5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","85.57","2403.33",,"7.406","0.5794","9.659","3072.843","29298.683","7","SPP","Cyclone boiler","Coal",
"MO","Sikeston","6768","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","682.02","117615.67",,"326.619","0.1211","73.06","125103.994","1219322.317","7","SPP","Dry bottom wall-fired boiler","Coal",
"MO","Sioux","2107","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","284126.0",,"101.748","0.2437","343.117","296193.6","2824114.4","7",,"Cyclone boiler","Coal",
"MO","Sioux","2107","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","744.0","280056.0",,"175.016","0.2695","351.298","273962.9","2612158.2","7",,"Cyclone boiler","Coal",
"MO","South Harper Peaking Facility","56151","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"7","SPP","Combustion turbine","Pipeline Natural Gas",
"MO","South Harper Peaking Facility","56151","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"7","SPP","Combustion turbine","Pipeline Natural Gas",
"MO","South Harper Peaking Facility","56151","3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","0.0",,,,,,,,"7","SPP","Combustion turbine","Pipeline Natural Gas",
"MO","St. Francis Power Plant","7604","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","99.97","17473.68",,"0.037","0.0143","0.786","7377.105","124129.763","7",,"Combined cycle","Pipeline Natural Gas",
"MO","St. Francis Power Plant","7604","2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","377.09","70492.76",,"0.147","0.0121","2.152","29158.053","490647.071","7",,"Combined cycle","Pipeline Natural Gas",
"MO","State Line (MO)","7296","1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"7",,"Combustion turbine","Pipeline Natural Gas",
"MO","State Line (MO)","7296","2-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","461.08","69565.23",,"0.186","0.0174","4.756","36857.394","620198.197","7",,"Combined cycle","Pipeline Natural Gas",
"MO","State Line (MO)","7296","2-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","259.81","48821.58",,"0.106","0.0194","2.77","20953.282","352588.651","7",,"Combined cycle","Pipeline Natural Gas",
"MO","Thomas Hill Energy Center","2168","MB1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","521.33","64734.89",,"142.456","0.4198","158.379","76745.338","731918.074","7",,"Cyclone boiler","Coal",
"MO","Thomas Hill Energy Center","2168","MB2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","358.37","82842.44",,"164.197","0.4975","217.407","87144.31","830909.081","7",,"Cyclone boiler","Coal",
"MO","Thomas Hill Energy Center","2168","MB3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","516.3","309344.2",,"590.467","0.2161","316.779","303099.718","2891247.594","7",,"Dry bottom wall-fired boiler","Coal",
"MS","Ackerman Combined Cycle","55694","AA-001",,"5","2016","ARP, CSNOXOS","223.28","69760.57",,"0.138","0.0189","3.156","27342.571","460080.242","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Ackerman Combined Cycle","55694","AA-002",,"5","2016","ARP, CSNOXOS","221.08","69617.62",,"0.139","0.019","3.484","27536.382","463350.118","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Attala Generating Plant","55220","A01",,"5","2016","ARP, CSNOXOS","677.0","153255.0",,"0.317","0.0108","5.628","62747.1","1055927.0","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Attala Generating Plant","55220","A02",,"5","2016","ARP, CSNOXOS","740.88","158150.52",,"0.348","0.0114","6.476","69018.372","1161365.364","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Batesville Generation Facility","55063","1",,"5","2016","ARP, CSNOXOS","739.42","172418.1",,"0.411","0.0251","17.171","81430.716","1370232.688","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Batesville Generation Facility","55063","2",,"5","2016","ARP, CSNOXOS","739.45","175220.6",,"0.411","0.0248","16.979","81477.945","1371002.745","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Batesville Generation Facility","55063","3",,"5","2016","ARP, CSNOXOS","739.47","171459.7",,"0.397","0.026","17.139","78604.323","1322668.241","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Baxter Wilson","2050","1",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SPP","Tangentially-fired","Pipeline Natural Gas",
"MS","Baxter Wilson","2050","2",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Caledonia","55197","AA-001",,"5","2016","ARP, CSNOXOS","532.87","124679.23",,"0.262","0.0131","4.849","51868.92","872797.471","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Caledonia","55197","AA-002",,"5","2016","ARP, CSNOXOS","576.99","135430.98",,"0.286","0.0102","4.234","56726.994","954542.157","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Caledonia","55197","AA-003",,"5","2016","ARP, CSNOXOS","588.03","141482.74",,"0.294","0.0111","4.825","58324.021","981411.264","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Choctaw County Gen","55706","CTG1",,"5","2016","ARP, CSNOXOS","0.0",,,,,,,,"4",,"Combined cycle","Pipeline Natural Gas",
"MS","Choctaw County Gen","55706","CTG2",,"5","2016","ARP, CSNOXOS","741.56","119195.8",,"0.386","0.0108","6.678","76410.721","1285733.768","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Choctaw County Gen","55706","CTG3",,"5","2016","ARP, CSNOXOS","733.4","117584.4",,"0.382","0.0115","6.704","75570.891","1271651.679","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Crossroads Energy Center (CPU)","55395","CT01",,"5","2016","CSNOXOS, ARP","1.12","0.0",,"0.0","0.0","0.0","0.112","1.568","4","SPP","Combustion turbine","Pipeline Natural Gas",
"MS","Crossroads Energy Center (CPU)","55395","CT02",,"5","2016","CSNOXOS, ARP","0.08","0.0",,"0.0","0.002","0.0","0.176","3.024","4","SPP","Combustion turbine","Pipeline Natural Gas",
"MS","Crossroads Energy Center (CPU)","55395","CT03",,"5","2016","CSNOXOS, ARP","0.05","0.0",,"0.0","0.0","0.0","0.005","0.08","4","SPP","Combustion turbine","Pipeline Natural Gas",
"MS","Crossroads Energy Center (CPU)","55395","CT04",,"5","2016","CSNOXOS, ARP","0.04","0.0",,"0.0","0.0","0.0","0.002","0.048","4","SPP","Combustion turbine","Pipeline Natural Gas",
"MS","Daniel Electric Generating Plant","6073","1"," CS1BYP, MS1FGD","5","2016","ARP, MATS, CSNOXOS","50.0","8574.0",,"0.367","0.4369","21.434","10175.0","99174.4","4","SERC","Tangentially-fired","Coal",
"MS","Daniel Electric Generating Plant","6073","2"," CS1BYP, MS2FGD","5","2016","ARP, MATS, CSNOXOS","408.0","67419.75",,"3.16","0.2801","116.05","84295.425","821598.6","4","SERC","Tangentially-fired","Coal",
"MS","Daniel Electric Generating Plant","6073","3A",,"5","2016","ARP, CSNOXOS","523.0","84976.0",,"0.267","0.0082","3.596","52981.5","891505.4","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Daniel Electric Generating Plant","6073","3B",,"5","2016","ARP, CSNOXOS","744.0","118000.0",,"0.375","0.009","5.623","74363.0","1251279.3","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Daniel Electric Generating Plant","6073","4A",,"5","2016","ARP, CSNOXOS","741.25","122460.0",,"0.374","0.0081","4.983","74021.375","1245537.575","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Daniel Electric Generating Plant","6073","4B",,"5","2016","ARP, CSNOXOS","744.0","122953.0",,"0.372","0.008","4.957","73643.5","1239193.7","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","David M Ratcliffe","57037","AB-001",,"5","2016","CSNOXOS, ARP, MATS","710.75","187665.25",,"0.432","0.0139","9.105","85570.2","1439869.1","4",,"Integrated gasification combined cycle","Pipeline Natural Gas",
"MS","David M Ratcliffe","57037","AB-002",,"5","2016","CSNOXOS, ARP, MATS","687.5","181182.0",,"0.418","0.0132","8.529","82844.95","1393976.25","4",,"Integrated gasification combined cycle","Pipeline Natural Gas",
"MS","Gerald Andrus","8054","1",,"5","2016","ARP, CSNOXOS","0.0",,,,,,,,"4","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Hinds Energy Facility","55218","H01",,"5","2016","ARP, CSNOXOS","744.0","169645.0",,"0.344","0.0108","6.198","68064.3","1145289.9","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Hinds Energy Facility","55218","H02",,"5","2016","ARP, CSNOXOS","744.0","170035.0",,"0.342","0.0097","5.543","67761.7","1140231.7","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Kemper County","7960","KCT1",,"5","2016","ARP, CSNOXOS","158.09","11235.27",,"0.041","0.0372","2.332","8060.187","135605.611","4",,"Combustion turbine","Diesel Oil",
"MS","Kemper County","7960","KCT2",,"5","2016","ARP, CSNOXOS","137.01","9821.64",,"0.039","0.0291","1.547","6937.497","116677.706","4",,"Combustion turbine","Diesel Oil",
"MS","Kemper County","7960","KCT3",,"5","2016","ARP, CSNOXOS","164.02","11625.38",,"0.041","0.0328","2.12","8176.83","137590.307","4",,"Combustion turbine","Diesel Oil",
"MS","Kemper County","7960","KCT4",,"5","2016","ARP, CSNOXOS","164.72","11844.04",,"0.043","0.0307","1.981","8333.722","140216.782","4",,"Combustion turbine","Diesel Oil",
"MS","Magnolia Facility","55451","CTG-1",,"5","2016","ARP, CSNOXOS","744.0","188990.0",,"0.415","0.012","8.296","82190.1","1382998.8","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Magnolia Facility","55451","CTG-2",,"5","2016","ARP, CSNOXOS","665.87","168112.19",,"0.37","0.012","6.972","73284.501","1233160.907","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Magnolia Facility","55451","CTG-3",,"5","2016","ARP, CSNOXOS","740.76","186654.83",,"0.41","0.0124","8.337","81192.286","1366193.729","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Moselle Generating Plant","2070","**4",,"5","2016","CSNOXOS, ARP","9.86","649.43",,"0.002","0.0434","0.147","471.252","7930.209","4","SERC","Combustion turbine","Pipeline Natural Gas",
"MS","Moselle Generating Plant","2070","3",,"5","2016","CSNOXOS, ARP","71.55","1511.03",,"0.006","0.2391","3.43","1091.41","18360.957","4","SERC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Moselle Generating Plant","2070","5",,"5","2016","CSNOXOS, ARP","10.68","719.79",,"0.003","0.0452","0.14","518.95","8733.065","4","SERC","Combustion turbine","Pipeline Natural Gas",
"MS","Moselle Generating Plant","2070","6",,"5","2016","CSNOXOS, ARP","694.71","93211.36",,"0.225","0.0063","2.061","44586.573","750270.868","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","Moselle Generating Plant","2070","7",,"5","2016","CSNOXOS, ARP","705.4","94945.13",,"0.237","0.0091","2.835","46998.91","790881.171","4","SERC","Combined cycle","Pipeline Natural Gas",
"MS","R D Morrow Senior Generating Plant","6061","1",,"5","2016","ARP, MATS, CSNOXOS","0.0",,,,,,,,"4","SERC","Dry bottom turbo-fired boiler","Coal",
"MS","R D Morrow Senior Generating Plant","6061","2",,"5","2016","ARP, MATS, CSNOXOS","0.0",,,,,,,,"4","SERC","Dry bottom turbo-fired boiler","Coal",
"MS","Red Hills Generation Facility","55076","AA001"," CS001","5","2016","ARP, MATS, CSNOXOS","547.5",,"704158.75","107.113","0.1015","62.054","122566.05","1155855.5","4",,"Circulating fluidized bed boiler","Coal",
"MS","Red Hills Generation Facility","55076","AA002"," CS001","5","2016","ARP, MATS, CSNOXOS","552.25",,"657292.0","96.476","0.1383","84.946","122643.325","1157081.725","4",,"Circulating fluidized bed boiler","Coal",
"MS","Rex Brown","2053","3",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Rex Brown","2053","4",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Silver Creek Generating Plant","7988","1",,"5","2016","CSNOXOS, ARP","4.9","273.44",,"0.001","0.0458","0.069","208.004","3498.54","4",,"Combustion turbine","Pipeline Natural Gas",
"MS","Silver Creek Generating Plant","7988","2",,"5","2016","CSNOXOS, ARP","20.83","1371.69",,"0.005","0.0376","0.239","1023.712","17225.057","4",,"Combustion turbine","Pipeline Natural Gas",
"MS","Silver Creek Generating Plant","7988","3",,"5","2016","CSNOXOS, ARP","8.43","541.72",,"0.002","0.0425","0.117","399.046","6714.684","4",,"Combustion turbine","Pipeline Natural Gas",
"MS","Southaven Combined Cycle","55269","AA-001",,"5","2016","ARP, CSNOXOS","618.36","142641.87",,"0.298","0.0144","5.788","58982.699","992498.365","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Southaven Combined Cycle","55269","AA-002",,"5","2016","ARP, CSNOXOS","297.69","65981.45",,"0.138","0.0206","3.167","27400.384","461062.133","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Southaven Combined Cycle","55269","AA-003",,"5","2016","ARP, CSNOXOS","676.6","159668.67",,"0.324","0.0121","5.91","64081.823","1078308.014","4",,"Combined cycle","Pipeline Natural Gas",
"MS","Sweatt Electric Generating Plant","2048","1"," CS01","5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Sweatt Electric Generating Plant","2048","2"," CS01","5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SERC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Sweatt Electric Generating Plant","2048","CTA",,"5","2016","CSNOXOS","60.0","672.0",,,"0.7","3.683",,"10519.7","4","SERC","Combustion turbine","Pipeline Natural Gas",
"MS","Sweatt Electric Generating Plant","2048","CTB",,"5","2016","CSNOXOS","58.0","672.0",,,"0.7","3.593",,"10267.3","4","SERC","Combustion turbine","Pipeline Natural Gas",
"MS","Sylvarena Generating Plant","7989","1",,"5","2016","CSNOXOS, ARP","132.11","5606.56",,"0.016","0.1011","2.597","3115.516","52422.931","4",,"Combustion turbine","Pipeline Natural Gas",
"MS","Sylvarena Generating Plant","7989","2",,"5","2016","CSNOXOS, ARP","143.58","6139.98",,"0.017","0.0932","2.655","3381.58","56909.141","4",,"Combustion turbine","Pipeline Natural Gas",
"MS","Sylvarena Generating Plant","7989","3",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4",,"Combustion turbine","Pipeline Natural Gas",
"MS","Watson Electric Generating Plant","2049","3",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"4","SERC","Tangentially-fired","Pipeline Natural Gas",
"MS","Watson Electric Generating Plant","2049","4",,"5","2016","CSNOXOS, ARP, MATS","234.34","14946.15",,"0.049","0.1013","9.269","9714.328","163461.105","4","SERC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Watson Electric Generating Plant","2049","5",,"5","2016","CSNOXOS, ARP, MATS","423.24","62220.0",,"0.201","0.1822","64.315","39884.556","671152.016","4","SERC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"MS","Watson Electric Generating Plant","2049","CTA",,"5","2016","CSNOXOS","61.0","806.0",,,"0.6999","3.727",,"10648.6","4","SERC","Combustion turbine","Pipeline Natural Gas",
"MS","Watson Electric Generating Plant","2049","CTB",,"5","2016","CSNOXOS","61.0","818.0",,,"0.7","3.811",,"10889.0","4","SERC","Combustion turbine","Pipeline Natural Gas",
"MT","Colstrip","6076","1",,"5","2016","ARP, MATS","459.05","86556.1",,"80.255","0.2912","160.943","106586.649","1018620.382","8","WECC","Tangentially-fired","Coal",
"MT","Colstrip","6076","2",,"5","2016","ARP, MATS","321.39","56456.1",,"17.27","0.1156","39.613","69727.94","666999.005","8","WECC","Tangentially-fired","Coal",
"MT","Colstrip","6076","3",,"5","2016","ARP, MATS","505.35","288924.5",,"140.131","0.1464","221.752","301281.511","2872624.922","8","WECC","Tangentially-fired","Coal",
"MT","Colstrip","6076","4",,"5","2016","ARP, MATS","118.27","77269.84",,"35.937","0.1675","61.404","79143.709","754615.743","8","WECC","Tangentially-fired","Coal",
"MT","Culbertson Station","56606","CT01",,"5","2016","ARP","70.29","2968.95",,"0.009","0.0921","1.293","1758.349","29584.91","8",,"Combustion turbine","Pipeline Natural Gas",
"MT","Glendive Generating Station","2176","GT-2",,"5","2016","ARP","2.88","74.92",,"0.002","0.1935","0.081","52.004","757.3","8","MAPP","Combustion turbine","Pipeline Natural Gas",
"MT","Hardin Generating Station","55749","U1",,"5","2016","ARP, MATS","0.0",,,,,,,,"8","WECC","Dry bottom wall-fired boiler","Coal",
"MT","Lewis & Clark","6089","B1",,"5","2016","ARP, MATS","364.02","13567.0",,"0.893","0.3507","30.014","18298.708","170985.244","8","MAPP","Tangentially-fired","Coal",
"MT","Mill Creek Generating Station","56908","1A"," CS1","5","2016","ARP","540.04","7318.77",,"0.027","0.0162","0.745","5318.403","89483.662","8",,"Combustion turbine","Pipeline Natural Gas",
"MT","Mill Creek Generating Station","56908","1B"," CS1","5","2016","ARP","462.82","6253.49",,"0.023","0.0159","0.627","4528.942","76218.154","8",,"Combustion turbine","Pipeline Natural Gas",
"MT","Mill Creek Generating Station","56908","2A"," CS2","5","2016","ARP","244.68","3499.67",,"0.013","0.0186","0.381","2505.931","42167.688","8",,"Combustion turbine","Pipeline Natural Gas",
"MT","Mill Creek Generating Station","56908","2B"," CS2","5","2016","ARP","240.95","3444.98",,"0.013","0.0172","0.36","2487.658","41846.227","8",,"Combustion turbine","Pipeline Natural Gas",
"MT","Mill Creek Generating Station","56908","3A"," CS3","5","2016","ARP","0.0",,,,,,,,"8",,"Combustion turbine","Pipeline Natural Gas",
"MT","Mill Creek Generating Station","56908","3B"," CS3","5","2016","ARP","9.0","205.4",,"0.001","0.0229","0.022","134.396","2260.712","8",,"Combustion turbine","Pipeline Natural Gas",
"NC","Asheville","2706","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","381.68","30018.0",,"10.283","0.0773","11.872","29762.791","290808.397","4","SERC","Dry bottom wall-fired boiler","Coal",
"NC","Asheville","2706","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP, MATS","441.95","33147.65",,"14.688","0.0803","13.324","33892.305","330336.88","4","SERC","Dry bottom wall-fired boiler","Coal",
"NC","Asheville","2706","3",,"5","2016","CSNOX, CSNOXOS, ARP, CSSO2G1","22.16","3291.54",,"0.011","0.09","1.645","2174.617","36593.252","4","SERC","Combustion turbine","Pipeline Natural Gas",
"NC","Asheville","2706","4",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G1","21.48","2906.02",,"0.01","0.0944","1.606","2032.954","34207.578","4","SERC","Combustion turbine","Pipeline Natural Gas",
"NC","Belews Creek","8042","1",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","485.81","420850.32",,"160.871","0.1766","308.904","389254.364","3793899.802","4","SERC","Cell burner boiler","Coal",
"NC","Belews Creek","8042","2",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G1","326.58","258411.0",,"120.536","0.1828","223.043","239858.936","2337804.616","4","SERC","Cell burner boiler","Coal",
"NC","Blewett","2707","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","1.12","0.0",,"0.078","1.2005","0.186","25.2","310.3","4",,"Combustion turbine","Diesel Oil",
"NC","Blewett","2707","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","1.08","0.0",,"0.075","1.2","0.18","24.3","299.2","4",,"Combustion turbine","Diesel Oil",
"NC","Blewett","2707","3",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","1.09","0.0",,"0.076","1.2013","0.181","24.4","301.9","4",,"Combustion turbine","Diesel Oil",
"NC","Blewett","2707","4",,"5","2016","CSNOX, CSNOXOS, CSSO2G1","1.1","0.0",,"0.076","1.2","0.183","24.7","304.7","4",,"Combustion turbine","Diesel Oil",
"NC","Buck","2720","11C",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","742.67","218280.8",,"0.432","0.0086","6.097","85643.897","1441107.998","4","SERC","Combined cycle","Pipeline Natural Gas",
"NC","Buck","2720","12C",,"5","2016","CSNOX, CSNOXOS, CSSO2G1, ARP","738.41","215233.51",,"0.426","0.009","6.124","84448.661","1421010.555","4","SERC","Combined cycle","Pipeline Natural Gas",
"NC","Butler-Warner Generation Plant","1016","GT-1"," CP1","5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4","SERC","Combined cycle","Pipeline Natural Gas",
"NC","Butler-Warner Generation Plant","1016","GT-2"," CP1","5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4","SERC","Combined cycle","Pipeline Natural Gas",
"NC","Butler-Warner Generation Plant","1016","GT-3"," CP1","5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4","SERC","Combined cycle","Pipeline Natural Gas",
"NC","Butler-Warner Generation Plant","1016","GT-4"," CP1","5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4","SERC","Combustion turbine","Pipeline Natural Gas",
"NC","Butler-Warner Generation Plant","1016","GT-5"," CP1","5","2016","CSNOX, CSNOXOS, CSSO2G1","0.0",,,,,,,,"4","SERC","Combustion turbine","Pipeline Natural Gas",
