State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"AL","Hillabee Energy Center","55411","CT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","275655.0",,"0.559","0.0078","7.307","110706.5","1862857.5","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Hog Bayou Energy Center","55241","COG01",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","639.18","144876.08",,"0.315","0.0108","5.373","62438.042","1050633.388","4",,"Combined cycle","Pipeline Natural Gas",
"AL","James H Miller Jr","6002","1"," MS1B, MS1A","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","264.0","111273.5",,"7.112","0.0839","49.015","131016.25","1249210.25","4","SERC","Dry bottom wall-fired boiler","Coal",
"AL","James H Miller Jr","6002","2"," MS2A, MS2B","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","387.0","173819.75",,"8.622","0.0879","86.2","195645.95","1865431.075","4","SERC","Dry bottom wall-fired boiler","Coal",
"AL","James H Miller Jr","6002","3"," MS3B, MS3A","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","744.0","430433.0",,"16.589","0.0561","121.346","453294.775","4322040.9","4","SERC","Dry bottom wall-fired boiler","Coal",
"AL","James H Miller Jr","6002","4"," MS4B, MS4A","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","744.0","433514.0",,"17.027","0.0695","163.961","491222.8","4683668.9","4","SERC","Dry bottom wall-fired boiler","Coal",
"AL","McIntosh (7063)","7063","**1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","12.91","524.66",,"0.001","0.59","0.369","157.249","2644.272","4",,"Other turbine","Pipeline Natural Gas",
"AL","McIntosh (7063)","7063","**2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","37.6","2747.27",,"0.009","0.0516","0.717","1801.964","30314.611","4",,"Combustion turbine","Pipeline Natural Gas",
"AL","McIntosh (7063)","7063","**3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","62.09","4670.28",,"0.017","0.0588","1.623","3355.601","56465.1","4",,"Combustion turbine","Pipeline Natural Gas",
"AL","McIntosh (7063)","7063","**4",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","347.74","52511.2",,"0.112","0.027","4.78","22270.201","374749.186","4",,"Combustion turbine","Pipeline Natural Gas",
"AL","McIntosh (7063)","7063","**5",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","363.54","54249.63",,"0.171","0.0298","8.095","33871.171","569952.024","4",,"Combustion turbine","Pipeline Natural Gas",
"AL","McWilliams","533","**4",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","419.26","32687.36",,"0.118","0.0611","11.814","23785.592","400254.977","4",,"Combined cycle","Pipeline Natural Gas",
"AL","McWilliams","533","**V1",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","473.12","72677.2",,"0.234","0.0104","3.976","46347.944","779885.748","4",,"Combined cycle","Pipeline Natural Gas",
"AL","McWilliams","533","**V2",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","337.39","51330.4",,"0.166","0.0128","3.488","32787.059","551700.66","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Morgan Energy Center","55293","CT-1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","517.42","114100.96",,"0.255","0.0085","3.331","50531.352","850299.633","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Morgan Energy Center","55293","CT-2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","604.26","130982.28",,"0.297","0.0088","3.93","58832.394","989979.451","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Morgan Energy Center","55293","CT-3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","377.56","88163.81",,"0.194","0.01","2.643","38436.556","646764.909","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Plant H. Allen Franklin","7710","1A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","695.75","179342.0",,"0.364","0.0121","5.616","72044.15","1212292.0","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Plant H. Allen Franklin","7710","1B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","702.5","182243.25",,"0.365","0.0106","5.297","72203.175","1214941.15","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Plant H. Allen Franklin","7710","2A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","744.0","207898.0",,"0.425","0.008","5.687","84097.8","1415116.1","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Plant H. Allen Franklin","7710","2B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","736.75","205733.5",,"0.425","0.0095","6.477","84178.7","1416466.575","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Plant H. Allen Franklin","7710","3A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","66.75","11930.0",,"0.026","0.0548","1.107","5158.45","86803.575","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Plant H. Allen Franklin","7710","3B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","61.75","11497.25",,"0.025","0.0803","1.423","4919.925","82781.575","4",,"Combined cycle","Pipeline Natural Gas",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","600.89","152311.25",,"0.347","0.0121","5.347","68813.406","1157923.223","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","628.21","155825.29",,"0.363","0.0116","5.529","71912.168","1210063.52","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Tenaska Central Alabama Gen Station","55440","CTGDB3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","598.11","150919.54",,"0.336","0.0105","4.874","66652.899","1121574.355","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT1",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","411.84","95154.6",,"0.205","0.0259","4.289","40570.841","682669.558","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT2",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","348.9","84491.51",,"0.182","0.0146","2.93","36135.121","608062.543","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Tenaska Lindsay Hill Generating Station","55271","CT3",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","426.86","103032.56",,"0.227","0.0177","4.407","44868.883","754990.095","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Walton Discover Power Facility","55138","1A",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","49.51","1201.14",,"0.005","0.2024","1.635",,"15183.998","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Walton Discover Power Facility","55138","1B",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","48.94","1249.09",,"0.005","0.2011","1.63",,"15780.315","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Walton Discover Power Facility","55138","2A",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","49.79","1178.33",,"0.004","0.2062","1.581",,"14869.855","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Walton Discover Power Facility","55138","2B",,"5","2016","CSNOX, CSNOXOS, CSSO2G2","48.92","1289.87",,"0.005","0.1969","1.685",,"16384.118","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Widows Creek","50","7",,"5","2016","CSNOX, CSSO2G2, ARP, MATS","0.0",,,,,,,,"4","SERC","Tangentially-fired","Coal",
"AL","Widows Creek","50","8",,"5","2016","CSNOX, CSSO2G2, ARP, MATS","0.0",,,,,,,,"4","SERC","Tangentially-fired","Coal",
"AR","Carl Bailey","202","01",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"6","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"AR","City Water & Light - City of Jonesboro","56505","SN04",,"5","2016","CSNOXOS, ARP","99.0","3330.0",,"0.011","0.1091","1.927","2089.3","35374.4","6","SPP","Combustion turbine","Pipeline Natural Gas",
"AR","City Water & Light - City of Jonesboro","56505","SN06",,"5","2016","CSNOXOS, ARP","4.0","98.0",,"0.0","0.1013","0.054","62.6","1060.2","6","SPP","Combustion turbine","Pipeline Natural Gas",
"AR","City Water & Light - City of Jonesboro","56505","SN07",,"5","2016","CSNOXOS, ARP","109.0","4080.0",,"0.013","0.109","2.475","2678.8","45387.2","6","SPP","Combustion turbine","Pipeline Natural Gas",
"AR","Dell Power Plant","55340","1",,"5","2016","ARP, CSNOXOS","166.65","34519.79",,"0.079","0.0122","1.241","15387.346","258926.1","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Dell Power Plant","55340","2",,"5","2016","ARP, CSNOXOS","158.68","33199.88",,"0.077","0.0105","1.045","14973.008","251946.564","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Flint Creek Power Plant","6138","1",,"5","2016","ARP, MATS, CSNOXOS","58.6","58.6",,"6.445","0.0456","1.624","2504.97","23879.92","6",,"Dry bottom wall-fired boiler","Coal",
"AR","Fulton","7825","CT1",,"5","2016","ARP, CSNOXOS","103.42","12422.72",,"0.04","0.0603","3.819","7942.632","133656.26","6",,"Combustion turbine","Pipeline Natural Gas",
"AR","Harry D. Mattison Power Plant","56328","1",,"5","2016","CSNOXOS, ARP","46.04","3269.92",,"0.013","0.1897","1.828","2393.6","40568.5","6",,"Combustion turbine","Pipeline Natural Gas",
"AR","Harry D. Mattison Power Plant","56328","2",,"5","2016","CSNOXOS, ARP","35.13","2492.74",,"0.01","0.2018","1.578","1911.3","32392.3","6",,"Combustion turbine","Pipeline Natural Gas",
"AR","Harry D. Mattison Power Plant","56328","3",,"5","2016","ARP, CSNOXOS","25.78","1881.4",,"0.007","0.1779","1.181","1364.3","23122.5","6",,"Combustion turbine","Pipeline Natural Gas",
"AR","Harry D. Mattison Power Plant","56328","4",,"5","2016","ARP, CSNOXOS","34.43","2478.5",,"0.01","0.1951","1.749","1831.1","31031.7","6",,"Combustion turbine","Pipeline Natural Gas",
